,Star_name,Distance,Mass,Radius
18,SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de]
19,2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de]
20,2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de]
21,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6
22,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A
23,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B
24,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C
25,SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de]
26,2MASS J02103857-3015313,2MASS J02103857-3015313,2MASS J02103857-3015313,2MASS J02103857-3015313
27,2MASS J02340093-6442068,2MASS J02340093-6442068,2MASS J02340093-6442068,2MASS J02340093-6442068
28,2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de]
29,2MASS J02431371−2453298,2MASS J02431371−2453298,2MASS J02431371−2453298,2MASS J02431371−2453298
30,LP 771-21,LP 771-21,LP 771-21,LP 771-21
31,2MASS J02511327+0047364,2MASS J02511327+0047364,2MASS J02511327+0047364,2MASS J02511327+0047364
32,Teegarden's star,Teegarden's star,Teegarden's star,Teegarden's star
33,2MASS J02535980+3206373,2MASS J02535980+3206373,2MASS J02535980+3206373,2MASS J02535980+3206373
34,WISE J0254+0223,WISE J0254+0223,WISE J0254+0223,WISE J0254+0223
35,DEN 0255-4700,DEN 0255-4700,DEN 0255-4700,DEN 0255-4700
36,2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de]
37,2MASS J03205965+1854233,2MASS J03205965+1854233,2MASS J03205965+1854233,2MASS J03205965+1854233
38,2MASS J03231002-4631237,2MASS J03231002-4631237,2MASS J03231002-4631237,2MASS J03231002-4631237
39,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1
40,2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de]
41,2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de]
42,2MASS J03341218-4953322,2MASS J03341218-4953322,2MASS J03341218-4953322,2MASS J03341218-4953322
43,LP 944-20,LP 944-20,LP 944-20,LP 944-20
44,2MASP J0345432+254023,2MASP J0345432+254023,2MASP J0345432+254023,2MASP J0345432+254023
45,Teide 1,Teide 1,Teide 1,Teide 1
46,2MASS J03510004-0052452,2MASS J03510004-0052452,2MASS J03510004-0052452,2MASS J03510004-0052452
47,2MASS J03552337+1133437,2MASS J03552337+1133437,2MASS J03552337+1133437,2MASS J03552337+1133437
48,DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de]
49,2MASS J04151954−0935066,2MASS J04151954−0935066,2MASS J04151954−0935066,2MASS J04151954−0935066
50,SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de]
51,2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de]
52,2MASS J04351612-1606574,2MASS J04351612-1606574,2MASS J04351612-1606574,2MASS J04351612-1606574
53,2MASS J04362788-4114465,2MASS J04362788-4114465,2MASS J04362788-4114465,2MASS J04362788-4114465
54,2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de]
55,2MASS J04414489+2301513,2MASS J04414489+2301513,2MASS J04414489+2301513,2MASS J04414489+2301513
56,2MASS J04433764+0002040,2MASS J04433764+0002040,2MASS J04433764+0002040,2MASS J04433764+0002040
57,2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de]
58,2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de]
59,2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de]
60,2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de]
61,2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de]
62,2MASS J0523−1403,2MASS J0523−1403,2MASS J0523−1403,2MASS J0523−1403
63,2MASS 0532+8246,2MASS 0532+8246,2MASS 0532+8246,2MASS 0532+8246
64,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0
65,2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de]
66,LSR 0602+3910 [de],LSR 0602+3910 [de],LSR 0602+3910 [de],LSR 0602+3910 [de]
67,2MASS J06085283-2753583,2MASS J06085283-2753583,2MASS J06085283-2753583,2MASS J06085283-2753583
68,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A
69,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B
70,2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de]
71,2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de]
72,DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de]
73,2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de]
74,2MASS J07075327-4900503,2MASS J07075327-4900503,2MASS J07075327-4900503,2MASS J07075327-4900503
75,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2
76,2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de]
77,2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de]
